,lat,lon
97,45.065973,7.682597
98,45.07874,7.678016
99,45.06961,7.662642
100,45.06961,7.662642
101,45.06961,7.662642
102,45.06961,7.662642
103,45.06961,7.662642
104,45.118319,7.736461
105,45.06711,7.69192
106,45.080914,7.732551
107,45.074058,7.673574
108,45.065071,7.695107
109,45.067943,7.68264
110,45.074457,7.684108
111,45.074593,7.683743
112,45.067201,7.68161
113,45.066928,7.682147
114,45.067813,7.632466
115,45.068171,7.682726
116,45.068565,7.684142
117,45.068625,7.684142
118,45.068625,7.684164
119,45.068625,7.684228
120,45.068868,7.692875
121,45.068853,7.692897
122,45.068868,7.69279
123,45.063912,7.696459
124,45.063958,7.696459
125,45.063882,7.696416
126,45.062912,7.698347
127,45.064579,7.695901
128,45.064874,7.695912
129,45.062881,7.698454
130,45.067752,7.632341
131,45.067822,7.682511
132,45.092777,7.6625
133,45.059972,7.697341
134,45.059972,7.697341
135,45.059972,7.697341
136,45.059972,7.697341
137,45.07143,7.685647
138,45.071577,7.685602
139,45.074457,7.684108
140,45.070899,7.676439
141,45.065094,7.680602
142,45.069777,7.704055
143,45.082622,7.685153
144,45.082622,7.685153
145,45.082622,7.685153
146,45.08274,7.685065
147,45.064427,7.695729
148,45.07123,7.690539
149,45.073429,7.689614
150,45.073429,7.689614
151,45.073429,7.689614
152,45.031111,7.687777
153,45.031111,7.6875
154,45.064427,7.695729
155,45.064427,7.695729
156,45.064427,7.695729
157,45.064427,7.695729
158,45.064427,7.695729
159,45.07123,7.690539
160,45.073429,7.689614
161,45.073429,7.689614
162,45.073429,7.689614
163,45.073429,7.689614
164,45.073429,7.689614
165,45.081058,7.67661
166,45.104133,7.631572
167,45.067504,7.681996
168,45.051966,7.667608
169,45.068565,7.683072
170,45.06733,7.682468
171,45.05229,7.699551
172,45.05229,7.699551
173,45.05229,7.699551
174,45.05229,7.699551
175,45.05229,7.699551
176,45.069777,7.704055
177,45.072513,7.660394
178,45.065341,7.687172
179,45.053318,7.683179
180,45.053318,7.683179
181,45.053318,7.683179
182,45.068565,7.683072
183,45.068565,7.683072
184,45.06733,7.682468
185,45.06733,7.682468
186,45.06733,7.682468
187,45.071995,7.690193
188,45.089383,7.669701
189,45.102176,7.761304
190,45.06905,7.677158
191,45.061078,7.634854
192,45.076223,7.681574
193,45.087281,7.691112
194,45.032463,7.641082
195,45.0639,7.699511
196,45.0639,7.699511
197,45.068042,7.632075
198,45.064533,7.6872
199,45.076217,7.640798
200,45.076217,7.640798
201,45.032463,7.641082
202,45.095875,7.643812
203,45.066897,7.688477
204,45.072197,7.680427
205,45.072208,7.680461
206,45.071244,7.685011
207,45.068325,7.682894
208,45.034166,7.633055
209,45.034166,7.633055
210,45.033888,7.633055
211,45.033888,7.633055
212,45.034166,7.632777
213,45.034166,7.632777
214,45.071225,7.685297
215,45.034166,7.633055
216,45.034166,7.632777
217,45.034166,7.633055
218,45.034166,7.632777
219,45.081969,7.604941
220,45.050361,7.769479
221,45.050361,7.769479
222,45.073641,7.66806
223,45.050361,7.769479
224,45.070527,7.683906
225,45.071255,7.686502
226,45.063874,7.69663
