lat,lng,ids,predictions,label,CLUSTER_ID
45.0236624479,7.645894289,2201856425839021976,"3 : 0.14828114, 3 : 0.077009425, 8 : 0.040485997",0,14.0
45.0236624479,7.645894289,2201786059092711062,"4 : 0.099842265, 13 : 0.034149013, 13 : 0.030854749",0,14.0
45.0236624479,7.645894289,2201338472277547269,"3 : 0.26660883, 10 : 0.16821408, 7 : 0.051057838",0,14.0
45.0236624479,7.645894289,2201006719048380977,"1 : 0.1995306, 11 : 0.12995781, 11 : 0.11493445",0,14.0
45.0236624479,7.645894289,2200377281843772209,"9 : 0.19462484, 5 : 0.124178566, 4 : 0.051897157",0,14.0
45.0236624479,7.645894289,2200357081739999484,"7 : 0.18600333, 7 : 0.17918994, 7 : 0.058522347",0,14.0
45.0236624479,7.645894289,2200333901984670032,"7 : 0.87614816, 4 : 0.02481235, 7 : 0.012928788",0,14.0
45.0236624479,7.645894289,2199791926967435987,"9 : 0.2787574, 9 : 0.104480006, 2 : 0.027432248",0,14.0
45.0236624479,7.645894289,2199710359161083171,"13 : 0.065929905, 4 : 0.045544874, 5 : 0.029536266",0,14.0
45.0236624479,7.645894289,2199596373087475769,"8 : 0.23417881, 9 : 0.1403277, 8 : 0.030748965",0,14.0
45.0236624479,7.645894289,2199537727288249300,"1 : 0.9206335, 1 : 0.0015834642, 1 : 0.0014025919",0,14.0
45.0236624479,7.645894289,2199451766041986812,"4 : 0.13253991, 9 : 0.0913242, 7 : 0.081439815",0,14.0
45.0236624479,7.645894289,2199401029099882400,"9 : 0.19239926, 11 : 0.15649372, 2 : 0.06344512",0,14.0
45.0236624479,7.645894289,2199364391762321492,"12 : 0.38305092, 9 : 0.10079942, 13 : 0.08933336",0,14.0
45.0236624479,7.645894289,2198948319137469651,"9 : 0.5274804, 2 : 0.03571176, 8 : 0.028523698",0,14.0
45.0236624479,7.645894289,2198833738855535660,"4 : 0.07226367, 2 : 0.06310923, 2 : 0.043907657",0,14.0
45.0236624479,7.645894289,2198810993841337208,"4 : 0.20587936, 9 : 0.048605464, 9 : 0.017391857",0,14.0
45.0236624479,7.645894289,2198713606590928231,"8 : 0.53196836, 8 : 0.25173643, 8 : 0.044331074",0,14.0
45.0236624479,7.645894289,2198625635728472173,"8 : 0.60164994, 9 : 0.08379395, 9 : 0.044494636",0,14.0
45.0236624479,7.645894289,2198099656198811000,"4 : 0.6160555, 9 : 0.025883615, 12 : 0.0074392157",0,14.0
45.0236624479,7.645894289,2197992804140620824,"9 : 0.14521532, 2 : 0.05450282, 13 : 0.04815725",0,14.0
45.0236624479,7.645894289,2197908910284337978,"1 : 0.16255537, 4 : 0.049609695, 11 : 0.033991277",0,14.0
45.0236624479,7.645894289,2197846806759635409,"4 : 0.2978709, 9 : 0.074989505, 12 : 0.021105703",0,14.0
