field_1,lat,lng,label,predictions,ids,CLUSTER_ID
60,45.018692,7.665238,2,"13 : 0.71091664, 2 : 0.059930418, 13 : 0.023055434",45783831192,
61,45.018692,7.665238,2,"13 : 0.31162673, 13 : 0.060396016, 13 : 0.03707339",44016418080,
62,45.018692,7.665238,2,"2 : 0.6695632, 4 : 0.1993147, 13 : 0.024935268",45108536474,
63,45.018692,7.665238,2,"7 : 0.31757832, 7 : 0.13369092, 7 : 0.021078868",44016416010,
64,45.018692,7.665238,2,"7 : 0.0935434, 7 : 0.087894835, 7 : 0.049542278",31962318198,
65,45.018692,7.665238,2,"7 : 0.7887903, 7 : 0.045355264, 4 : 0.025847964",44016414820,
66,45.018692,7.665238,2,"13 : 0.86592335, 7 : 0.07990832, 7 : 0.013594981",32287370418,
67,45.018692,7.665238,2,"7 : 0.1623965, 12 : 0.13229734, 13 : 0.12324249",31219500707,
68,45.018692,7.665238,2,"7 : 0.72757554, 7 : 0.017427508",31219499877,
69,45.018692,7.665238,2,"7 : 0.2731993, 7 : 0.25356916, 7 : 0.21256885",45246479235,
70,45.018692,7.665238,2,"7 : 0.5615072, 4 : 0.18317424, 7 : 0.048971187",45246478055,
71,45.018692,7.665238,2,"7 : 0.39323196, 3 : 0.24197744, 7 : 0.040270865",45435040814,
72,45.018692,7.665238,2,"2 : 0.968797, 3 : 0.0056118295, 7 : 0.00530677",45246475965,
73,45.018692,7.665238,2,"7 : 0.9063839, 3 : 0.033384632, 2 : 0.012155464",45435038364,
74,45.018692,7.665238,2,"3 : 0.1727006, 7 : 0.0475997, 7 : 0.04206245",46108130752,
75,45.018692,7.665238,2,"7 : 0.3910183, 7 : 0.16713233, 4 : 0.10135494",46108129722,
76,45.018692,7.665238,2,"7 : 0.9012529, 7 : 0.009024088, 7 : 0.007203154",45435036294,
77,45.018692,7.665238,2,"7 : 0.17347357, 7 : 0.08672359, 8 : 0.079118125",46108128202,
78,45.018692,7.665238,2,"7 : 0.70280105, 7 : 0.036820874, 7 : 0.01935848",32287391198,
79,45.018692,7.665238,2,"7 : 0.20827013, 7 : 0.14006197, 7 : 0.13631785",46108126712,
80,45.018692,7.665238,2,"2 : 0.25190082, 7 : 0.15604025, 2 : 0.15267742",45435034424,
81,45.018692,7.665238,2,"7 : 0.14990228, 7 : 0.10805127",32287387448,
82,45.018692,7.665238,2,"7 : 0.6339837, 7 : 0.07962864, 7 : 0.071458176",46108123862,
83,45.018692,7.665238,2,"7 : 0.5185498, 7 : 0.20212242, 7 : 0.07346069",32287384888,
84,45.018692,7.665238,2,"9 : 0.20015143, 7 : 0.16216812, 7 : 0.16069198",44341805400,
85,45.018692,7.665238,2,"7 : 0.67330974, 3 : 0.27347866, 7 : 0.013240023",46108121992,
86,45.018692,7.665238,2,"7 : 0.34863064, 7 : 0.17533994, 3 : 0.057398047",44341804490,
87,45.018692,7.665238,2,"7 : 0.9822182, 3 : 0.0036770378, 4 : 0.0006299948",32287379838,
88,45.018692,7.665238,2,"7 : 0.04206224, 7 : 0.11001548",46108119282,
89,45.018692,7.665238,2,"7 : 0.12095524, 7 : 0.08722085, 7 : 0.063449614",32287377758,
90,45.018692,7.665238,2,"7 : 0.29678294, 2 : 0.12726952, 2 : 0.05415969",45246461115,
91,45.018692,7.665238,2,"7 : 0.343262, 7 : 0.12058216, 7 : 0.09394608",32287374598,
92,45.018692,7.665238,2,"7 : 0.5710546, 7 : 0.20955439, 7 : 0.048136827",32287373618,
93,45.018692,7.665238,2,"7 : 0.1573327, 12 : 0.14660336, 7 : 0.107704885",32287372458,
94,45.018692,7.665238,2,"7 : 0.5872903, 7 : 0.076352626, 7 : 0.0758419",31219467977,
