,lat,lng,ids,predictions,label,cores
148,45.018692,7.665238,32287379838,"7 : 0.9822182, 3 : 0.0036770378, 4 : 0.0006299948",0,1
149,45.018692,7.665238,46108119282,"7 : 0.04206224, 7 : 0.11001548",0,1
150,45.018692,7.665238,32287377758,"7 : 0.12095524, 7 : 0.08722085, 7 : 0.063449614",0,1
151,45.018692,7.665238,45246461115,"7 : 0.29678294, 2 : 0.12726952, 2 : 0.05415969",0,1
152,45.018692,7.665238,32287374598,"7 : 0.343262, 7 : 0.12058216, 7 : 0.09394608",0,1
153,45.018692,7.665238,32287373618,"7 : 0.5710546, 7 : 0.20955439, 7 : 0.048136827",0,1
154,45.018692,7.665238,32287372458,"7 : 0.1573327, 12 : 0.14660336, 7 : 0.107704885",0,1
155,45.018692,7.665238,31219467977,"7 : 0.5872903, 7 : 0.076352626, 7 : 0.0758419",0,1
156,45.018692,7.665238,46220222101,"6 : 0.03387998, 7 : 0.031726714, 7 : 0.02507863",0,1
157,45.018692,7.665238,44403126330,"6 : 0.042616542, 3 : 0.02312906, 4 : 0.022209514",0,1
158,45.018692,7.665238,44403124380,"13 : 0.17932901, 13 : 0.10989985, 6 : 0.07451267",0,1
159,45.018692,7.665238,45307473305,"13 : 0.6111547, 13 : 0.063263044, 13 : 0.055178374",0,1
160,45.018692,7.665238,32348057178,"2 : 0.62165225, 2 : 0.3596437, 4 : 0.001769581",0,1
161,45.018692,7.665238,32348056238,"7 : 0.54870415, 13 : 0.03789362, 13 : 0.035884894",0,1
162,45.018692,7.665238,32348055028,"7 : 0.9548029, 14 : 0.013559023, 6 : 0.0063206702",0,1
163,45.018692,7.665238,45307470485,"7 : 0.9706908, 13 : 0.0044955565, 13 : 0.0025083923",0,1
164,45.018692,7.665238,45307469725,"7 : 0.8981986, 7 : 0.018575246, 2 : 0.002787343",0,1
165,45.018692,7.665238,45496348744,"13 : 0.5004158, 13 : 0.19442542, 13 : 0.13555631",0,1
166,45.018692,7.665238,45496348154,"13 : 0.28561184, 9 : 0.15214339, 13 : 0.078503124",0,1
167,45.018692,7.665238,46169665282,"13 : 0.7263874, 13 : 0.07194823, 4 : 0.02706438",0,1
168,45.018692,7.665238,45496346964,"13 : 0.70256144, 13 : 0.186431, 7 : 0.022429219",0,1
169,45.018692,7.665238,46169663192,"13 : 0.4685434, 13 : 0.33850577, 7 : 0.050349675",0,1
170,45.018692,7.665238,45496345494,"13 : 0.21853064, 7 : 0.047271494, 13 : 0.04473751",0,1
171,45.018692,7.665238,45496345044,"2 : 0.16255483, 13 : 0.16218443, 13 : 0.16080894",0,1
172,45.018692,7.665238,45496344814,"13 : 0.44919106, 13 : 0.11118879, 13 : 0.07258462",0,1
173,45.018692,7.665238,45496344494,"13 : 0.6622354, 9 : 0.14540799, 2 : 0.027658096",0,1
174,45.018692,7.665238,31281343967,"6 : 0.31571415, 13 : 0.14477535, 13 : 0.102328025",0,1
175,45.018692,7.665238,31281343597,"13 : 0.24458346, 13 : 0.09441982, 13 : 0.09170651",0,1
176,45.018692,7.665238,31281343077,"13 : 0.46449983, 13 : 0.1457328, 2 : 0.07684165",0,1
177,45.018692,7.665238,45496340734,"13 : 0.19739926, 13 : 0.13630573, 13 : 0.08640561",0,1
178,45.018692,7.665238,45496339634,"13 : 0.31107873, 13 : 0.28179896, 13 : 0.07033766",0,1
179,45.018692,7.665238,45496338834,"7 : 0.9197446, 7 : 0.02208601, 7 : 0.011292657",0,1
180,45.018692,7.665238,45496337764,"7 : 0.9447361, 7 : 0.023143077, 4 : 0.002262746",0,1
181,45.018692,7.665238,44403140990,"7 : 0.9798269, 6 : 0.0041778204, 4 : 0.001964103",0,1
182,45.018692,7.665238,46220231891,"7 : 0.9991215, 7 : 0.0002684063, 6 : 0.00010283547",0,1
183,45.018692,7.665238,46220231341,"7 : 0.80103177, 7 : 0.007860813, 2 : 0.004984919",0,1
184,45.018692,7.665238,46220230291,"7 : 0.97850627, 7 : 0.002063395, 2 : 0.0006442455",0,1
185,45.018692,7.665238,32348025888,"7 : 0.9930276, 2 : 0.0017850562, 7 : 0.00036025955",0,1
186,45.018692,7.665238,32348024958,"13 : 0.041699134, 13 : 0.041099735, 2 : 0.03950695",0,1
