id,predictions,CLUSTER_ID
1.82617482947307E+018,"3 : 0.5943862, 6 : 0.10230877, 6 : 0.024591506",15
1.80790986906461E+018,"3 : 0.68767047, 7 : 0.045876317, 3 : 0.04304596",15
1.80160522906697E+018,"3 : 0.7892897, 7 : 0.004777715, 7 : 0.0040433216",15
1.79336841997675E+018,"2 : 0.3711912, 7 : 0.04998376, 2 : 0.041290868",15
1.78512531380864E+018,"9 : 0.78706235, 3 : 0.093427554, 12 : 0.050599143",15
1.77622419299648E+018,"3 : 0.44076428, 3 : 0.23740256, 3 : 0.06748281",15
1.7522622658617E+018,"12 : 0.0764019, 7 : 0.045261573, 7 : 0.037110843",15
1.7471952674317E+018,"2 : 0.19038333, 3 : 0.14733362, 3 : 0.13819411",15
1.74707410038208E+018,"9 : 0.26286823, 4 : 0.050692156, 2 : 0.030306136",15
1.74214417199872E+018,"12 : 0.15772846, 2 : 0.14736138, 9 : 0.11530057",15
1.7353438367143E+018,"3 : 0.86606014, 3 : 0.036991544, 3 : 0.0061231363",15
1.73280760680162E+018,"7 : 0.6720156, 3 : 0.109365344, 7 : 0.016221669",15
1.72959922206582E+018,"3 : 0.52452576, 8 : 0.29886207, 3 : 0.017317161",15
1.729582457819E+018,"3 : 0.57138854, 8 : 0.2617355, 3 : 0.015628582",15
1.72731491098529E+018,"3 : 0.17221773, 3 : 0.070024304, 3 : 0.04861144",15
1.72610068074757E+018,"3 : 0.15885219, 7 : 0.12326816, 3 : 0.067906134",15
1.71902015422015E+018,"3 : 0.23441064, 7 : 0.096196614, 7 : 0.05308812",15
1.71678764395981E+018,"13 : 0.16052343, 4 : 0.1350354, 7 : 0.09221844",15
1.69892827118007E+018,"2 : 0.1216845, 2 : 0.076476544, 4 : 0.07320749",15
1.69892239392829E+018,"2 : 0.9048769, 12 : 0.0058232667, 2 : 0.0033488092",15
1.69892145094815E+018,"2 : 0.42449462, 2 : 0.04871426, 7 : 0.04408709",15
1.66098952365471E+018,"13 : 0.4831154, 9 : 0.1950062, 5 : 0.060608525",15
1.65927624351591E+018,"12 : 0.6117765, 7 : 0.023834143, 2 : 0.02150098",15
1.65925448049707E+018,"2 : 0.26559094, 2 : 0.23602533, 7 : 0.14683567",15
1.65782043753343E+018,"7 : 0.2304552, 3 : 0.055387393, 3 : 0.049107376",15
