ids,predictions,CLUSTER_ID
48707280598,"13 : 0.7456317, 3 : 0.1147202, 7 : 0.03277374",2
47106972971,"8 : 0.9354172, 8 : 0.00324753, 8 : 0.0016816494",12
49808985636,"8 : 0.8963432, 8 : 0.049698707, 8 : 0.0012250909",12
48829255418,"1 : 0.4405725, 1 : 0.09978579, 8 : 0.08061283",12
48829726987,"11 : 0.46633255, 1 : 0.33447403, 1 : 0.015443062",12
48830134523,"7 : 0.49221203, 12 : 0.19761741, 13 : 0.15037611",12
48829979688,"8 : 0.3782603, 8 : 0.0840647, 8 : 0.07248887",12
48829497011,"2 : 0.27923894, 12 : 0.10376459, 1 : 0.059190135",12
48829045788,"1 : 0.27612677, 2 : 0.21730644, 11 : 0.15459742",12
48829516497,"7 : 0.1577471, 13 : 0.09218593, 12 : 0.075541824",12
48829463762,"2 : 0.3465316, 2 : 0.17811026, 3 : 0.026338609",12
48829113436,"8 : 0.7159509, 8 : 0.062842764, 8 : 0.027158758",12
48828922016,"8 : 0.9038747, 8 : 0.03998536, 8 : 0.005565621",12
48828747792,"8 : 0.7136513, 8 : 0.031948708, 8 : 0.02188209",12
48828223351,"9 : 0.25973117, 12 : 0.07585645, 13 : 0.065019384",12
48707281068,"3 : 0.90860605, 3 : 0.0698878, 3 : 0.0047635958",12
48830635452,"8 : 0.8311801, 8 : 0.03130956, 8 : 0.011811891",12
48828424073,"8 : 0.61231023, 4 : 0.01854639, 8 : 0.018412163",12
33271052024,"11 : 0.87287915, 1 : 0.037008595, 13 : 0.007576147",12
26806617668,"3 : 0.93640727, 12 : 0.020030512, 2 : 0.0061557028",12
24259670157,"1 : 0.5711873, 11 : 0.1486621, 1 : 0.042909294",12
39967796724,"3 : 0.3209346, 11 : 0.068540156, 13 : 0.040446755",12
26806617708,"3 : 0.9727111, 12 : 0.008101137, 2 : 0.0011732794",12
47945891437,"8 : 0.5045129, 8 : 0.2856817, 8 : 0.00787544",4
47945919861,"8 : 0.74422914, 8 : 0.091918, 8 : 0.0038407084",4
42533851141,"1 : 0.5118824, 9 : 0.06606088, 1 : 0.026342211",12
48805708418,"2 : 0.6238672, 11 : 0.13083017, 1 : 0.0272651",12
48955501707,"2 : 0.23642743, 11 : 0.1103815, 11 : 0.051430855",12
46383361934,"8 : 0.8524293, 8 : 0.007117465, 8 : 0.0022420757",12
39779895425,"12 : 0.26728144, 4 : 0.14532588, 2 : 0.05961373",12
39967782284,"4 : 0.4661287, 3 : 0.044818394, 12 : 0.031964213",12
48707278608,"2 : 0.61539155, 2 : 0.34905174, 2 : 0.00464018",2
45847271831,"1 : 0.74106395, 1 : 0.022287238, 11 : 0.0128936",12
45275349491,"11 : 0.6985584, 1 : 0.18941969, 11 : 0.017604087",12
26436235119,"7 : 0.2575984, 13 : 0.08878584, 7 : 0.048680957",12
40668132491,"11 : 0.32761872, 1 : 0.107068315, 13 : 0.03315111",12
43503567385,"8 : 0.42823768, 8 : 0.38276833, 8 : 0.012300777",4
38234174296,"9 : 0.7118511, 2 : 0.06428828, 7 : 0.02438955",12
48721488896,"8 : 0.9027896, 8 : 0.010786553, 8 : 0.0035250222",12
48721665442,"8 : 0.92960805, 8 : 0.0053727874, 8 : 0.001023221",12
48721665267,"8 : 0.8736387, 8 : 0.015990488, 8 : 0.01087067",12
32663560635,"13 : 0.0836409, 9 : 0.052667357, 8 : 0.042341433",12
32541275441,"9 : 0.15933579, 2 : 0.07277049, 13 : 0.07059043",12
32663560485,"13 : 0.39091343, 2 : 0.18598656, 8 : 0.035944816",12
32663560355,"7 : 0.36669025, 4 : 0.1486088, 9 : 0.09800542",12
32284399120,"12 : 0.7640969, 8 : 0.05155687, 11 : 0.03385764",12
32663560155,"9 : 0.8999256, 9 : 0.09449789, 9 : 0.00040701585",12
32663560105,"9 : 0.45051542, 2 : 0.092394896, 8 : 0.0759082",12
45700265551,"11 : 0.6715054, 1 : 0.0765057, 8 : 0.024658522",12
44975178444,"1 : 0.31530023, 11 : 0.24540962, 11 : 0.041314255",12
46289038301,"1 : 0.63944143, 13 : 0.108681045, 1 : 0.01663305",12
48728713438,"2 : 0.76299316, 13 : 0.23097631, 2 : 0.0024507167",4
47079441672,"7 : 0.51865226, 1 : 0.16220494, 1 : 0.040659178",12
48721671122,"8 : 0.905564, 8 : 0.0018774461, 13 : 0.0017155953",12
26826738468,"1 : 0.5069511, 11 : 0.11854649, 11 : 0.11499167",12
38392102901,"2 : 0.9381943, 11 : 0.025866566, 1 : 0.0039371923",12
48283647816,"8 : 0.17266165, 1 : 0.1258566, 8 : 0.031114623",12
46731072174,"2 : 0.20862144, 10 : 0.04005738, 4 : 0.039224517",12
46539040715,"8 : 0.2123216, 1 : 0.057876874, 8 : 0.042175144",12
47454183661,"13 : 0.85028315, 8 : 0.006998705, 2 : 0.005389511",12
46539040005,"8 : 0.3037083, 2 : 0.17703876, 8 : 0.09652558",12
40488236423,"2 : 0.9022525, 8 : 0.006482426, 13 : 0.0051425938",12
46539039585,"7 : 0.25170556, 4 : 0.16599795, 7 : 0.13784148",12
40488235703,"8 : 0.06258606, 8 : 0.051192176, 13 : 0.05089014",12
46539038875,"13 : 0.12922624, 9 : 0.08301027, 4 : 0.054085743",12
47454182371,"10 : 0.084110714, 13 : 0.070211045, 9 : 0.05062316",12
47401278382,"7 : 0.0912234, 13 : 0.04585192, 8 : 0.03540924",12
47454182191,"1 : 0.24704434, 1 : 0.15038784, 8 : 0.056572907",12
47454181751,"13 : 0.0635653, 8 : 0.037775524, 13 : 0.032773595",12
