field_1,lat,lng,label,cores,CLUSTER_ID,CLUSTER_SIZE,CLUSTER_ID_2,CLUSTER_SIZE_2
"10849",45.062425,7.678633,"1","1","14","6064","4","522"
"10850",45.062425,7.678633,"1","1","14","6064","4","522"
"10851",45.062425,7.678633,"1","1","14","6064","4","522"
"10852",45.062425,7.678633,"1","1","14","6064","4","522"
"10853",45.062425,7.678633,"1","1","14","6064","4","522"
"10854",45.062425,7.678633,"1","1","14","6064","4","522"
"10855",45.062425,7.678633,"1","1","14","6064","4","522"
"10856",45.062425,7.678633,"1","1","14","6064","4","522"
"10857",45.062425,7.678633,"1","1","14","6064","4","522"
"10858",45.062425,7.678633,"1","1","14","6064","4","522"
"10859",45.062425,7.678633,"1","1","14","6064","4","522"
"10860",45.062425,7.678633,"1","1","14","6064","4","522"
"10861",45.062425,7.678633,"1","1","14","6064","4","522"
"10862",45.062425,7.678633,"1","1","14","6064","4","522"
"10863",45.062434,7.677136,"1","1","14","6064","4","522"
"10864",45.062436,7.677155,"1","1","14","6064","4","522"
"10865",45.062436,7.678692,"1","1","14","6064","4","522"
"10872",45.062469,7.677158,"1","1","14","6064","4","522"
"10873",45.062469,7.677166,"1","1","14","6064","4","522"
"10878",45.062488,7.672416,"1","1","14","6064","4","522"
"10882",45.0625,7.672102,"1","1","14","6064","4","522"
"10883",45.0625,7.677222,"1","1","14","6064","4","522"
"10884",45.0625,7.679166,"1","1","14","6064","4","522"
"10885",45.0625,7.68,"1","1","14","6064","4","522"
"10891",45.062519,7.679786,"1","1","14","6064","4","522"
"10894",45.062522,7.67698,"1","1","14","6064","4","522"
"10895",45.062522,7.676994,"1","1","14","6064","4","522"
"10898",45.062538,7.685186,"1","1","14","6064","2","2053"
"10899",45.062544,7.679386,"1","1","14","6064","4","522"
"10910",45.062563,7.67837,"1","1","14","6064","4","522"
"10913",45.062564,7.678766,"1","1","14","6064","4","522"
"10916",45.062578,7.679765,"1","1","14","6064","4","522"
"10918",45.062583,7.671427,"1","1","14","6064","4","522"
"10920",45.062593,7.678992,"1","1","14","6064","4","522"
"10932",45.062597,7.678825,"1","1","14","6064","4","522"
"10933",45.062597,7.678825,"1","1","14","6064","4","522"
"10938",45.062613,7.678847,"1","1","14","6064","4","522"
"10939",45.062624,7.679336,"1","1","14","6064","4","522"
"10940",45.062624,7.679336,"1","1","14","6064","4","522"
"10941",45.062624,7.679336,"1","1","14","6064","4","522"
"10942",45.062624,7.679336,"1","1","14","6064","4","522"
"10943",45.062624,7.679336,"1","1","14","6064","4","522"
"10944",45.062624,7.679336,"1","1","14","6064","4","522"
"10945",45.062624,7.679336,"1","1","14","6064","4","522"
"10947",45.062636,7.679741,"1","1","14","6064","4","522"
"10948",45.062636,7.679766,"1","1","14","6064","4","522"
"10951",45.062644,7.679588,"1","1","14","6064","4","522"
