ids,predictions,lat,lng,label,CLUSTER_ID
35982366301,"13 : 0.22589746, 13 : 0.07840569, 2 : 0.0580034",45.072222,7.592222,1,16.0
35308199653,"8 : 0.28997526, 8 : 0.124955446, 5 : 0.035589807",45.072222,7.592222,1,16.0
36074287986,"13 : 0.96165437, 13 : 0.007062894, 13 : 0.0046573486",45.072222,7.592222,1,16.0
36075373726,"3 : 0.8298312, 2 : 0.039688677, 2 : 0.026739562",45.072222,7.592499,1,16.0
36116515445,"13 : 0.13364644, 2 : 0.09387423, 2 : 0.073847584",45.072222,7.592499,1,16.0
35276029964,"2 : 0.20092513, 8 : 0.1773586, 13 : 0.108867414",45.072222,7.592499,1,16.0
35276025694,"8 : 0.16940635, 13 : 0.07517974, 13 : 0.055439193",45.072222,7.592499,1,16.0
36074798886,"13 : 0.65579003, 8 : 0.030075723, 13 : 0.017627992",45.072222,7.592499,1,16.0
35982767081,"13 : 0.110557646, 13 : 0.064555205, 8 : 0.052999288",45.072222,7.592499,1,16.0
35982730501,"13 : 0.060346752, 8 : 0.033281557, 8 : 0.029185178",45.072222,7.592499,1,16.0
35725127790,"13 : 0.5590769, 13 : 0.07998324, 3 : 0.023554094",45.072222,7.592499,1,16.0
35308197353,"3 : 0.20282806, 8 : 0.127499, 13 : 0.11032057",45.072222,7.592499,1,16.0
35947100252,"8 : 0.30858564, 8 : 0.29415107, 8 : 0.030611703",45.072222,7.592499,1,16.0
35947095982,"2 : 0.21277975, 8 : 0.069606766, 8 : 0.062059566",45.072222,7.592499,1,16.0
35982493891,"13 : 0.9861966, 2 : 0.0050653866, 3 : 0.0007655153",45.072222,7.592499,1,16.0
35947028652,"12 : 0.1385934, 5 : 0.07421519, 2 : 0.056822747",45.072222,7.592499,1,16.0
36115938755,"13 : 0.89455634, 2 : 0.01585536, 2 : 0.014057584",45.072222,7.592499,1,16.0
35982363681,"13 : 0.20186777, 13 : 0.13829261, 7 : 0.02096433",45.072222,7.592499,1,16.0
35307755793,"13 : 0.79001284, 13 : 0.03708253, 13 : 0.020797726",45.072222,7.592499,1,16.0
35724738430,"2 : 0.47234136, 2 : 0.09410504, 13 : 0.05461789",45.072222,7.592499,1,16.0
35275549244,"2 : 0.90921664, 8 : 0.018512215, 3 : 0.013102199",45.072222,7.592499,1,16.0
35307737013,"8 : 0.56123567, 13 : 0.059649207, 2 : 0.026354166",45.072222,7.592499,1,16.0
35275518294,"13 : 0.50158244, 5 : 0.02990556, 7 : 0.022668378",45.072222,7.592499,1,16.0
35982336761,"13 : 0.041064225, 13 : 0.032639805, 13 : 0.031753134",45.072222,7.592499,1,16.0
36074132226,"8 : 0.100653715, 13 : 0.08248685, 14 : 0.056934875",45.072222,7.592499,1,16.0
36115680315,"2 : 0.08481717, 13 : 0.065732114, 8 : 0.06291057",45.072222,7.592499,1,16.0
36115675255,"14 : 0.19099104, 8 : 0.17762588, 13 : 0.047697492",45.072222,7.592499,1,16.0
