,lat,lng,ids,predictions,label,cores
114,45.023371,7.669023,49744061297,"13 : 0.14652678, 13 : 0.13122982, 13 : 0.1248444",1,1
115,45.023371,7.669023,49743189448,"13 : 0.5675815, 7 : 0.10102593, 7 : 0.073089905",1,1
116,45.023371,7.669023,49744060302,"13 : 0.44078988, 13 : 0.19835384, 13 : 0.06769657",1,1
117,45.023371,7.669023,49743735901,"13 : 0.30332458, 7 : 0.06229151",1,1
118,45.023371,7.669023,49743735746,"13 : 0.80540127, 7 : 0.0307363, 13 : 0.029928038",1,1
119,45.023371,7.669023,49743190718,"7 : 0.3483249, 13 : 0.0654908, 12 : 0.023159202",1,1
120,45.023371,7.669023,49744061667,"13 : 0.33900663, 13 : 0.19797914, 13 : 0.0571602",1,1
121,45.023371,7.669023,49744059532,"13 : 0.57144874, 7 : 0.06439122, 13 : 0.040499933",1,1
122,45.023371,7.669023,49743186018,"13 : 0.13249473, 13 : 0.05756426, 14 : 0.019662611",1,1
123,45.023371,7.669023,49743732356,"13 : 0.17989445, 13 : 0.04754649, 7 : 0.042941693",1,1
124,45.023371,7.669023,49744055242,"13 : 0.35053688, 8 : 0.05881141, 13 : 0.032807563",1,1
125,45.023371,7.669023,49743183758,"9 : 0.21421163, 10 : 0.05057082, 4 : 0.040972658",1,1
126,45.023371,7.669023,49743182738,"6 : 0.057841375, 13 : 0.050875418, 13 : 0.05020522",1,1
127,45.023371,7.669023,49744053607,"13 : 0.31646398, 13 : 0.15472871, 13 : 0.120874256",1,1
128,45.023371,7.669023,49743729606,"2 : 0.09983692, 13 : 0.050313722, 13 : 0.0449552",1,1
129,45.023371,7.669023,49208045476,"7 : 0.54857975, 7 : 0.049135905, 7 : 0.03588997",1,1
130,45.023371,7.669023,49208258842,"13 : 0.048649833, 2 : 0.045465667, 13 : 0.031866476",1,1
131,45.023371,7.669023,49208049931,"13 : 0.3460383, 12 : 0.11509453, 13 : 0.10349917",1,1
132,45.023371,7.669023,49207562558,"13 : 0.4857905, 2 : 0.10845138, 13 : 0.028405605",1,1
133,45.023371,7.669023,49208266517,"7 : 0.033720523, 14 : 0.0332828, 12 : 0.033016566",1,1
134,45.023371,7.669023,49208051691,"7 : 0.3927553, 6 : 0.17646073, 6 : 0.10100975",1,1
135,45.023371,7.669023,49208047156,"12 : 0.055532172, 7 : 0.052427746",1,1
136,45.023371,7.669023,49208260407,"7 : 0.22722015, 13 : 0.12198233, 13 : 0.11386976",1,1
137,45.023371,7.669023,49208267287,"7 : 0.23996338, 13 : 0.09520125, 8 : 0.08753938",1,1
138,45.023371,7.669023,49207569298,"13 : 0.32920966, 9 : 0.051070627, 13 : 0.021651624",1,1
139,45.023371,7.669023,49208265237,"2 : 0.12611614, 10 : 0.10072866, 13 : 0.07797564",1,1
140,45.023371,7.669023,49207557583,"2 : 0.26905522, 10 : 0.02287088, 13 : 0.014721657",1,1
141,45.023371,7.669023,49208264747,"13 : 0.5302491, 13 : 0.12149822, 13 : 0.09041268",1,1
142,45.023371,7.669023,49207563118,"6 : 0.12684359, 9 : 0.07694109, 6 : 0.03201078",1,1
143,45.023371,7.669023,49208052591,"13 : 0.7719894, 6 : 0.008622774, 13 : 0.006108313",1,1
144,45.023371,7.669023,49208271317,"6 : 0.103876114, 6 : 0.014870671, 6 : 0.014771596",1,1
145,45.023371,7.669023,49208262572,"13 : 0.0811511, 13 : 0.07480393, 7 : 0.07473965",1,1
146,45.023371,7.669023,49207568618,"7 : 0.05511702, 6 : 0.05467365, 13 : 0.05268351",1,1
147,45.023371,7.669023,49207561848,"7 : 0.2548661, 13 : 0.21150924, 7 : 0.116393454",1,1
148,45.023371,7.669023,49208048486,"13 : 0.3792769, 10 : 0.056335323, 7 : 0.04261672",1,1
149,45.023371,7.669023,49207564048,"13 : 0.38277775, 14 : 0.12727672, 13 : 0.030172013",1,1
150,45.023371,7.669023,49208050141,"6 : 0.8436719, 13 : 0.013860373, 2 : 0.013203801",1,1
151,45.023371,7.669023,49208259272,"13 : 0.1679858, 11 : 0.058095355, 13 : 0.04885007",1,1
152,45.023371,7.669023,49208269002,"13 : 0.6794659, 12 : 0.07555952, 2 : 0.017021578",1,1
153,45.023371,7.669023,49208044626,"13 : 0.86568207, 6 : 0.0042181583, 6 : 0.0038734123",1,1
154,45.023371,7.669023,49208046521,"13 : 0.26663947, 13 : 0.122573644, 7 : 0.05972455",1,1
155,45.023371,7.669023,49207563573,"13 : 0.097194426, 13 : 0.094501816, 13 : 0.056462258",1,1
156,45.023371,7.669023,49207566458,"13 : 0.8735208, 12 : 0.021972438, 14 : 0.0047253887",1,1
157,45.023371,7.669023,49208263332,"13 : 0.41140875, 13 : 0.0690923, 13 : 0.037264757",1,1
158,45.023371,7.669023,49208267132,"8 : 0.5412424, 13 : 0.23887375, 13 : 0.018862817",1,1
159,45.023371,7.669023,49208258347,"7 : 0.63970524, 4 : 0.01617179, 13 : 0.014050938",1,1
160,45.023371,7.669023,49208270162,"13 : 0.093504675, 13 : 0.088112734, 13 : 0.032411076",1,1
161,45.023371,7.669023,49207556153,"13 : 0.2547066, 8 : 0.22659291, 8 : 0.06337721",1,1
162,45.023371,7.669023,49208047276,"13 : 0.09354255, 13 : 0.055125035, 7 : 0.04159269",1,1
163,45.023371,7.669023,49208046901,"13 : 0.45482913, 13 : 0.043837603, 13 : 0.04304037",1,1
164,45.023371,7.669023,49207557533,"6 : 0.024152119, 12 : 0.021493157, 2 : 0.021013448",1,1
165,45.023371,7.669023,49208268007,"12 : 0.30522028, 2 : 0.29329565, 13 : 0.03534034",1,1
