field_1,lat,lng,ids,predictions,label,cores,CLUSTER_ID,CLUSTER_SIZE,layer,path
"23",45.023371,7.669023,"49743304948","13 : 0.8433958, 13 : 0.0093911085, 2 : 0.005013772","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"24",45.023371,7.669023,"49743200808","13 : 0.8433958, 13 : 0.0093911085, 2 : 0.005013772","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"25",45.023371,7.669023,"49744150662","13 : 0.105085544, 13 : 0.027636845, 13 : 0.021909546","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"26",45.023371,7.669023,"49613566813","7 : 0.116451226, 13 : 0.09865999, 7 : 0.09407898","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"27",45.023371,7.669023,"49744071412","13 : 0.7398385, 9 : 0.03168509, 13 : 0.021400066","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"28",45.023371,7.669023,"49640563122","13 : 0.9814967, 13 : 0.004454688, 14 : 0.00072738406","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"29",45.023371,7.669023,"49621798791","13 : 0.5403407, 13 : 0.035259698, 13 : 0.02762812","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"30",45.023371,7.669023,"49621285003","13 : 0.23164718, 4 : 0.11943438, 14 : 0.045508906","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"31",45.023371,7.669023,"49622069132","13 : 0.08228232, 13 : 0.023911547, 13 : 0.017543005","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"32",45.023371,7.669023,"49622068982","13 : 0.301649, 2 : 0.07301737, 13 : 0.03728228","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"33",45.023371,7.669023,"49208052786","13 : 0.7347192, 2 : 0.011420808, 13 : 0.010504067","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"34",45.023371,7.669023,"49208271372","7 : 0.061905477, 7 : 0.04110117, 7 : 0.03222848","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"35",45.023371,7.669023,"49208271247","6 : 0.12553643, 6 : 0.020151334, 9 : 0.019159697","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"36",45.023371,7.669023,"49207568198","13 : 0.7644302, 13 : 0.034297615, 7 : 0.018599976","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"37",45.023371,7.669023,"49208270717","6 : 0.0563777, 6 : 0.039230607, 13 : 0.03506256","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"38",45.023371,7.669023,"49208269557","13 : 0.2721712, 13 : 0.10640528, 13 : 0.039810035","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"39",45.023371,7.669023,"49208050311","13 : 0.48360693, 14 : 0.029888798, 4 : 0.01908629","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"40",45.023371,7.669023,"49207566703","13 : 0.22021677, 13 : 0.18978794, 9 : 0.033510793","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"41",45.023371,7.669023,"49208268377","13 : 0.3271808, 13 : 0.14237699, 13 : 0.018910633","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"42",45.023371,7.669023,"49208267642","13 : 0.5435515, 13 : 0.15241008, 8 : 0.059602566","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"43",45.023371,7.669023,"49208047466","13 : 0.19976275, 2 : 0.035919234, 2 : 0.02980457","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"44",45.023371,7.669023,"49208265677","13 : 0.4658776, 9 : 0.12400533, 2 : 0.03466152","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"45",45.023371,7.669023,"49208265607","13 : 0.06887231, 2 : 0.06300129, 13 : 0.05852996","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"46",45.023371,7.669023,"49207563063","9 : 0.05669448, 13 : 0.04339809, 13 : 0.03673314","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"47",45.023371,7.669023,"49208265192","7 : 0.37276182, 13 : 0.071881734, 13 : 0.035462335","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"48",45.023371,7.669023,"49207562798","7 : 0.24227867, 9 : 0.06097324, 5 : 0.049161706","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"49",45.023371,7.669023,"49208046101","13 : 0.44397485, 13 : 0.09433048, 12 : 0.060730048","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
"50",45.023371,7.669023,"49208263157","13 : 0.4413701, 13 : 0.049729273, 13 : 0.03831626","0","1",,,2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39,file://vboxsvr/Shared_Folder/Labeled/2019-01-01_to_2019-12-31_11_1111_labeled_0.5_39.csv?type=csv&maxFields=10000&detectTypes=yes&xField=lng&yField=lat&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no&subset=%22label%22%20!%3D%203
