ids,predictions,lat,lng,label,CLUSTER_ID
48806062891,"12 : 0.904634, 2 : 0.0041322196, 4 : 0.0039066863",45.061666,7.681111,0,12
45847309111,"11 : 0.3946148, 1 : 0.21633914, 1 : 0.048930127",45.061713,7.6747,0,4
32242017876,"2 : 0.78466725, 2 : 0.06567682, 2 : 0.0235752",45.061775,7.679786,0,12
49579567001,"3 : 0.18485263, 7 : 0.16882981, 3 : 0.14115699",45.061783,7.679441,0,12
44785754375,"1 : 0.74544424, 1 : 0.18942747, 11 : 0.011400717",45.061819,7.681719,0,12
44975138274,"1 : 0.653822, 1 : 0.053652015, 11 : 0.019205436",45.061825,7.68168,0,12
35142277140,"12 : 0.24071766, 2 : 0.08844856, 12 : 0.07436089",45.061836,7.685886,0,2
48707783887,"12 : 0.06618303, 12 : 0.037652243, 9 : 0.034095682",45.061883,7.686425,0,2
39958558824,"9 : 0.22124606, 11 : 0.07100375, 11 : 0.032254063",45.061889,7.681868,0,12
48707784057,"2 : 0.74321115, 2 : 0.06034783, 2 : 0.045033455",45.061899,7.686486,0,2
48454414461,"1 : 0.3267106, 11 : 0.18005194, 2 : 0.08522739",45.061908,7.675136,0,4
42630190114,"8 : 0.9359508, 8 : 0.001934882, 8 : 0.0010097651",45.061919,7.685719,0,2
35528928185,"3 : 0.2717606, 2 : 0.15444146, 7 : 0.08321412",45.061924,7.685855,0,2
34687656724,"2 : 0.7201405, 2 : 0.24281703, 2 : 0.014198269",45.061924,7.685902,0,2
31878704624,"7 : 0.15956648, 10 : 0.09911975, 12 : 0.093941495",45.061927,7.685863,0,2
35361672052,"2 : 0.62072873, 12 : 0.36471975, 2 : 0.004365467",45.06193,7.685886,0,2
35142274660,"2 : 0.26185104, 3 : 0.10072701, 3 : 0.09831694",45.061936,7.685863,0,2
31908470443,"12 : 0.30425754, 3 : 0.13154717, 3 : 0.094868176",45.061949,7.685883,0,2
48707784847,"3 : 0.4889373, 3 : 0.0904024, 3 : 0.040266722",45.061955,7.686619,0,2
33506260725,"3 : 0.8253374, 2 : 0.04569022, 11 : 0.0067620655",45.061964,7.684464,0,2
31878701744,"3 : 0.4078668, 3 : 0.28670573, 3 : 0.0525304",45.061969,7.6859,0,2
30759309967,"7 : 0.18866117, 3 : 0.15303278, 7 : 0.08892634",45.061986,7.681713,0,12
35142282450,"7 : 0.35713682, 3 : 0.14588192, 3 : 0.13328464",45.061991,7.685925,0,2
35142272720,"3 : 0.27355948, 2 : 0.08187686, 6 : 0.033175234",45062,7.685905,0,2
40677711101,"9 : 0.8970034, 2 : 0.024906723, 13 : 0.0063983933",45.062008,7.676658,0,12
32681183526,"3 : 0.4217927, 3 : 0.1826676, 3 : 0.01830515",45.062016,7.685922,0,2
32341972400,"7 : 0.57504135, 2 : 0.035005763, 3 : 0.03465447",45.062016,7.685922,0,2
35142281110,"7 : 0.57228327, 7 : 0.32641226, 2 : 0.04136742",45.062019,7.685891,0,2
35142274780,"2 : 0.21224128, 7 : 0.20393416, 2 : 0.13177702",45.062027,7.685905,0,2
45277125171,"8 : 0.88159865, 8 : 0.012303174, 8 : 0.0074993246",45.062058,7.680922,0,12
32639528943,"7 : 0.19151019, 12 : 0.07701916, 4 : 0.05140483",45.062063,7.685981,0,2
33169488794,"13 : 0.10588657, 9 : 0.0412988, 13 : 0.024195973",45.062063,7.685981,0,2
