ids,predictions,lat,lng,label,CLUSTER__ID
2164652125330765541,"2 : 0.54711664, 7 : 0.009046808, 2 : 0.0059755556",45.06954,7.68792,0,16
2163992576991105869,"7 : 0.41074717, 7 : 0.28641212, 2 : 0.03214534",45.06954,7.68792,0,16
2163992089805749247,"7 : 0.41679156, 7 : 0.2674346, 2 : 0.032686528",45.06954,7.68792,0,16
2162632861748919871,"3 : 0.18202071, 8 : 0.08176115, 7 : 0.057271373",45.06954,7.68792,0,16
2162516886365956777,"7 : 0.70985204, 7 : 0.13524036, 3 : 0.019623648",45.06954,7.68792,0,16
2161828440613927613,"7 : 0.5790634, 2 : 0.05271658, 2 : 0.045146",45.06954,7.68792,0,16
2160971029531451825,"7 : 0.21374215, 2 : 0.18332443, 1 : 0.09683971",45.06954,7.68792,0,16
2160965413551452418,"2 : 0.37842575, 13 : 0.109595925, 13 : 0.09671424",45.06954,7.68792,0,16
2160304281014651351,"7 : 0.483225, 2 : 0.08955432, 3 : 0.088300966",45.06954,7.68792,0,16
2158905185108236825,"7 : 0.2677393, 2 : 0.10415711, 7 : 0.0925777",45.06954,7.68792,0,16
2156675438391571894,"7 : 0.65165955, 7 : 0.07247028, 7 : 0.025621824",45.06954,7.68792,0,16
2156587791950226502,"2 : 0.5141254, 7 : 0.1812039, 2 : 0.023728771",45.06954,7.68792,0,16
2156057566392839893,"7 : 0.90652245, 7 : 0.04847679, 4 : 0.0047579804",45.06954,7.68792,0,16
2150968057468772581,"7 : 0.384777, 7 : 0.27652302, 3 : 0.057158925",45.06954,7.68792,0,16
2150895695901567885,"7 : 0.38958696, 7 : 0.14506343, 9 : 0.07232122",45.06954,7.68792,0,16
2147915079010705790,"2 : 0.111537136, 2 : 0.06782854, 2 : 0.042457435",45.06954,7.68792,0,16
2147246909228736029,"7 : 0.3275611, 2 : 0.29353458, 2 : 0.1700741",45.06954,7.68792,0,16
2146554259601291952,"2 : 0.23257177, 5 : 0.06454126, 7 : 0.063488394",45.06954,7.68792,0,16
2145834680059159072,"10 : 0.3491017, 2 : 0.13451755, 14 : 0.07799212",45.06954,7.68792,0,16
2145146114450624560,"7 : 0.2877284, 2 : 0.24486598, 7 : 0.063406795",45.06954,7.68792,0,16
2145052896354581036,"6 : 0.86435735, 2 : 0.04884886, 7 : 0.008260228",45.06954,7.68792,0,16
2144326865268055207,"2 : 0.39794156, 2 : 0.37920424, 2 : 0.06976316",45.06954,7.68792,0,16
2143104635443936271,"12 : 0.4271284, 12 : 0.21684058, 13 : 0.056343805",45.06954,7.68792,0,16
2143035832492355541,"7 : 0.152617, 13 : 0.05250316, 7 : 0.049220633",45.06954,7.68792,0,16
2142267953792617283,"2 : 0.08283174, 2 : 0.034391068, 7 : 0.032319758",45.06954,7.68792,0,16
2141546914525547724,"7 : 0.47874063, 6 : 0.041253965, 3 : 0.030759435",45.06954,7.68792,0,16
2139425981543389915,"2 : 0.8695054, 7 : 0.045721304, 2 : 0.0027003868",45.06954,7.68792,0,16
2139371428403785893,"2 : 0.9455903, 7 : 0.036679763, 3 : 0.0026526717",45.06954,7.68792,0,16
2137104585198776269,"7 : 0.8540018, 12 : 0.02090345, 9 : 0.01892914",45.06954,7.68792,0,16
2134284832088491745,"2 : 0.1187632, 7 : 0.080763705, 3 : 0.056447603",45.06954,7.68792,0,16
2134240579404693181,"5 : 0.85634166, 5 : 0.01344721, 5 : 0.0087234005",45.06954,7.68792,0,16
2132875240422844788,"2 : 0.41105467, 7 : 0.31067058, 11 : 0.062241107",45.06954,7.68792,0,16
2132021215964127316,"12 : 0.2866459, 2 : 0.11992366, 7 : 0.102446415",45.06954,7.68792,0,16
2132020801180931169,"12 : 0.2973391, 2 : 0.14677462, 7 : 0.1027502",45.06954,7.68792,0,16
2129870290688166305,"2 : 0.88219965, 7 : 0.0054576057, 7 : 0.0043181246",45.06954,7.68792,0,16
2129869992380892332,"2 : 0.86762697, 7 : 0.0059613357, 7 : 0.004846797",45.06954,7.68792,0,16
2128425493955875297,"7 : 0.41236964, 2 : 0.064149894, 7 : 0.051168438",45.06954,7.68792,0,16
2128425097720144811,"7 : 0.37625235, 2 : 0.067707784, 7 : 0.044295218",45.06954,7.68792,0,16
2127036784362738981,"7 : 0.6868821, 13 : 0.031894658, 2 : 0.024261862",45.06954,7.68792,0,16
2126306233746177661,"4 : 0.12888601, 2 : 0.08235248, 5 : 0.03391348",45.06954,7.68792,0,16
2126305689560241592,"4 : 0.107973985, 2 : 0.10020142, 13 : 0.04381805",45.06954,7.68792,0,16
2126242861369461281,"2 : 0.5304933, 7 : 0.08533295, 7 : 0.041088983",45.06954,7.68792,0,16
2122825285528409197,"3 : 0.124602795, 7 : 0.06027645, 12 : 0.054992534",45.06954,7.68792,0,16
2122622197018248690,"7 : 0.6110075, 7 : 0.3553983, 3 : 0.0019015808",45.06954,7.68792,0,16
2121343242160195022,"2 : 0.63387865, 7 : 0.032199915, 13 : 0.029284308",45.06954,7.68792,0,16
2121182708874052284,"7 : 0.61263734, 7 : 0.17347051, 7 : 0.04858232",45.06954,7.68792,0,16
2120546383347019208,"2 : 0.1027412, 2 : 0.090151325, 2 : 0.0559547",45.06954,7.68792,0,16
2115419233824315314,"2 : 0.13041948, 7 : 0.09107539, 3 : 0.0674933",45.06954,7.68792,0,16
2111731850771721819,"7 : 0.32466358, 12 : 0.18478647, 12 : 0.090467",45.06954,7.68792,0,16
