lat,lng,ids,predictions,label,CLUSTER_ID
45.06954,7.68792,"2,14583468005916E+018","10 : 0.3491017, 2 : 0.13451755, 14 : 0.07799212",0,16
45.06954,7.68792,"2,14514611445062E+018","7 : 0.2877284, 2 : 0.24486598, 7 : 0.063406795",0,16
45.06954,7.68792,"2,14505289635458E+018","6 : 0.86435735, 2 : 0.04884886, 7 : 0.008260228",0,16
45.06954,7.68792,"2,14432686526805E+018","2 : 0.39794156, 2 : 0.37920424, 2 : 0.06976316",0,16
45.06954,7.68792,"2,14310463544394E+018","12 : 0.4271284, 12 : 0.21684058, 13 : 0.056343805",0,16
45.06954,7.68792,"2,14303583249236E+018","7 : 0.152617, 13 : 0.05250316, 7 : 0.049220633",0,16
45.06954,7.68792,"2,14226795379262E+018","2 : 0.08283174, 2 : 0.034391068, 7 : 0.032319758",0,16
45.06954,7.68792,"2,14154691452555E+018","7 : 0.47874063, 6 : 0.041253965, 3 : 0.030759435",0,16
45.06954,7.68792,"2,13942598154339E+018","2 : 0.8695054, 7 : 0.045721304, 2 : 0.0027003868",0,16
45.06954,7.68792,"2,13937142840379E+018","2 : 0.9455903, 7 : 0.036679763, 3 : 0.0026526717",0,16
45.06954,7.68792,"2,13710458519878E+018","7 : 0.8540018, 12 : 0.02090345, 9 : 0.01892914",0,16
45.06954,7.68792,"2,13428483208849E+018","2 : 0.1187632, 7 : 0.080763705, 3 : 0.056447603",0,16
45.06954,7.68792,"2,13424057940469E+018","5 : 0.85634166, 5 : 0.01344721, 5 : 0.0087234005",0,16
45.06954,7.68792,"2,13287524042284E+018","2 : 0.41105467, 7 : 0.31067058, 11 : 0.062241107",0,16
45.06954,7.68792,"2,13202121596413E+018","12 : 0.2866459, 2 : 0.11992366, 7 : 0.102446415",0,16
45.06954,7.68792,"2,13202080118093E+018","12 : 0.2973391, 2 : 0.14677462, 7 : 0.1027502",0,16
45.06954,7.68792,"2,12987029068817E+018","2 : 0.88219965, 7 : 0.0054576057, 7 : 0.0043181246",0,16
45.06954,7.68792,"2,12986999238089E+018","2 : 0.86762697, 7 : 0.0059613357, 7 : 0.004846797",0,16
45.06954,7.68792,"2,12842549395588E+018","7 : 0.41236964, 2 : 0.064149894, 7 : 0.051168438",0,16
45.06954,7.68792,"2,12842509772014E+018","7 : 0.37625235, 2 : 0.067707784, 7 : 0.044295218",0,16
