ids,predictions,lat,lng,label,CLUSTER_ID
1.65458970294449e+18,"7 : 0.92546725, 7 : 0.03233579, 7 : 0.0025285692",45.0579952662,7.6350170672,0,14.0
2.0428606353318e+18,"13 : 0.2390497, 7 : 0.09414896, 7 : 0.06947646",45.0579952662,7.6350170672,0,14.0
2.13419464921713e+18,"13 : 0.3738037, 7 : 0.20648128, 13 : 0.15396392",45.0579952662,7.6350170672,0,14.0
2.18348643596436e+18,"7 : 0.2419101, 8 : 0.11690508, 14 : 0.09185003",45.0579952662,7.6350170672,0,14.0
2.04282178121968e+18,"7 : 0.17281689, 7 : 0.062579714, 13 : 0.05868835",45.0579952662,7.6350170672,0,14.0
2.15537390611496e+18,"13 : 0.22707568, 13 : 0.2186288, 13 : 0.0819139",45.0579952662,7.6350170672,0,14.0
2.11247623305394e+18,"13 : 0.122664586, 13 : 0.076545775, 13 : 0.07595863",45.0579952662,7.6350170672,0,14.0
2.03401951456046e+18,"7 : 0.42983076, 7 : 0.065816276, 12 : 0.028061824",45.0579952662,7.6350170672,0,14.0
2.11391689642395e+18,"13 : 0.21374732, 13 : 0.14494108, 7 : 0.13188599",45.0579952662,7.6350170672,0,14.0
2.19092682626896e+18,"13 : 0.26837865, 13 : 0.24132389, 13 : 0.07957418",45.0579952662,7.6350170672,0,14.0
1.9626638506338e+18,"7 : 0.39894995, 7 : 0.16342483, 10 : 0.061549973",45.0579952662,7.6350170672,0,14.0
2.18006663324295e+18,"3 : 0.912265, 3 : 0.021609945, 2 : 0.0020679228",45.0380052004,7.6434803009,0,14.0
2.16237759817763e+18,"3 : 0.68367994, 3 : 0.05271732, 3 : 0.014880236",45.0380052004,7.6434803009,0,14.0
2.13425685316984e+18,"3 : 0.94856125, 3 : 0.013147363, 3 : 0.0030020243",45.0380052004,7.6434803009,0,14.0
2.07542862930884e+18,"2 : 0.23670766, 3 : 0.113003716, 3 : 0.0718121",45.0380052004,7.6434803009,0,14.0
2.06406338757216e+18,"3 : 0.42099413, 3 : 0.18595825, 3 : 0.11304799",45.0380052004,7.6434803009,0,14.0
2.04945162946546e+18,"3 : 0.28201076, 13 : 0.25650656, 2 : 0.09165303",45.0380052004,7.6434803009,0,14.0
2.03992807600482e+18,"12 : 0.0723249, 12 : 0.047173344, 12 : 0.03980416",45.0380052004,7.6434803009,0,14.0
2.02048282755386e+18,"3 : 0.16370757, 7 : 0.14159375, 2 : 0.13034143",45.0380052004,7.6434803009,0,14.0
2.02048237041659e+18,"7 : 0.36329928, 3 : 0.06701708, 2 : 0.05537249",45.0380052004,7.6434803009,0,14.0
2.02048111062389e+18,"3 : 0.39528713, 7 : 0.2676929, 3 : 0.028999876",45.0380052004,7.6434803009,0,14.0
1.99512454980225e+18,"3 : 0.83467215, 3 : 0.009207721, 3 : 0.007193611",45.0380052004,7.6434803009,0,14.0
1.98510059804698e+18,"7 : 0.46385622, 7 : 0.19733931, 3 : 0.053782225",45.0380052004,7.6434803009,0,14.0
1.9582811193802e+18,"3 : 0.72178435, 3 : 0.017589696, 3 : 0.01565071",45.0380052004,7.6434803009,0,14.0
1.91839243654591e+18,"3 : 0.5735083, 3 : 0.07552308, 3 : 0.043758366",45.0380052004,7.6434803009,0,14.0
1.72988034393236e+18,"2 : 0.5605427, 2 : 0.07960428, 8 : 0.0528895",45.0380052004,7.6434803009,0,14.0
