lat,lng,ids,predictions,label,CLUSTER_ID
45.00583,7.610441,32112521837,"7 : 0.29397067, 7 : 0.09272354, 7 : 0.06191283",0,5.0
45.00583,7.610441,47054091631,"7 : 0.1258415, 7 : 0.07897959, 13 : 0.060874127",0,5.0
45.00583,7.610441,32112521657,"7 : 0.9493595, 7 : 0.007773581, 13 : 0.0028991294",0,5.0
45.00583,7.610441,47054090731,"7 : 0.22321308, 13 : 0.077679396, 7 : 0.058550663",0,5.0
45.00583,7.610441,32112521017,"7 : 0.42033628, 13 : 0.040604606, 13 : 0.02652942",0,5.0
45.00583,7.610441,47054090201,"7 : 0.5088046, 13 : 0.044937365, 7 : 0.03254811",0,5.0
45.00583,7.610441,32112520697,"7 : 0.5959792, 7 : 0.2571938, 7 : 0.010032347",0,5.0
45.00583,7.610441,47054089401,"7 : 0.24461786, 7 : 0.16623151, 13 : 0.09689362",0,5.0
45.00583,7.610441,32112520197,"7 : 0.24987498, 3 : 0.03257258, 3 : 0.030320747",0,5.0
45.00583,7.610441,33179068788,"2 : 0.17445469, 3 : 0.11896124, 3 : 0.10926271",0,5.0
45.00583,7.610441,33179067018,"10 : 0.6862204, 6 : 0.053509835, 6 : 0.031175107",0,5.0
45.00583,7.610441,32112517677,"6 : 0.11298812, 3 : 0.059365977, 6 : 0.049398363",0,5.0
45.00583,7.610441,47002160612,"7 : 0.39663035, 7 : 0.06472756, 13 : 0.027028797",0,5.0
45.00583,7.610441,32112515957,"7 : 0.18669252, 3 : 0.052039046, 2 : 0.037159696",0,5.0
45.00583,7.610441,32112514837,"6 : 0.06969099, 6 : 0.06165118, 5 : 0.0449653",0,5.0
45.00583,7.610441,32112513907,"13 : 0.33520377, 7 : 0.06237216, 10 : 0.048653234",0,5.0
45.00583,7.610441,32112513257,"13 : 0.15064843, 7 : 0.13604327, 7 : 0.06560553",0,5.0
45.00583,7.610441,32112521387,"13 : 0.088537455, 13 : 0.08691185, 13 : 0.0692552",0,5.0
45.013842,7.75286,41584923262,"11 : 0.51407605, 11 : 0.24694258, 1 : 0.10837847",1,6.0
45.013842,7.75286,27756337108,"2 : 0.6586341, 11 : 0.21622448, 11 : 0.011119349",1,6.0
45.013842,7.75286,27756339458,"2 : 0.9447495, 11 : 0.017991755, 11 : 0.0049520596",1,6.0
45.013842,7.75286,27756340188,"2 : 0.88902235, 11 : 0.06374814, 11 : 0.004155779",1,6.0
45.013842,7.75286,27756338078,"2 : 0.8813521, 11 : 0.053178623, 11 : 0.020164542",1,6.0
