name,lat,lon,count,ID_QU_C_SI,TAVOLA_BN,TAVOLA_CO
"15",45.065814867,7.689873316,"266","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"15",45.065814867,7.689873316,"266",,,
"15",45.065814867,7.689873316,"266",,"10",
"16",45.0623704173,7.6787111163,"216","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"16",45.0623704173,7.6787111163,"216",,,
"16",45.0623704173,7.6787111163,"216",,"10",
"17",45.0205056,7.6580006,"15","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"17",45.0205056,7.6580006,"15",,,
"17",45.0205056,7.6580006,"15",,"10",
"18",45.0330479187,7.6659926694,"147","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"18",45.0330479187,7.6659926694,"147",,,
"18",45.0330479187,7.6659926694,"147",,"10",
"19",45.0650291937,7.6897182316,"40","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"19",45.0650291937,7.6897182316,"40",,,
"19",45.0650291937,7.6897182316,"40",,"10",
"20",45.056880837,7.698483835,"130","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"20",45.056880837,7.698483835,"130",,,
"20",45.056880837,7.698483835,"130",,"10",
"21",45.0571404,7.68467,"85","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"21",45.0571404,7.68467,"85",,,
"21",45.0571404,7.68467,"85",,"10",
"22",45.06533,7.6914,"446","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"22",45.06533,7.6914,"446",,,
"22",45.06533,7.6914,"446",,"10",
